Player_Name,Player_LastName,Club,Position,Foot,known_name
JE'rE'mie,Boga ,ATALANTA,Left Winger,right,BOGA J.
Moustapha,CissE' ,ATALANTA,Centre-Forward,right,CISSE M.
Giorgio,Cittadini  ,ATALANTA,Centre-Back,right,CITTADINI G.
Tommaso,De Nipoti,ATALANTA,Second Striker,left,DE NIPOTI T.
Marten,de Roon,ATALANTA,Defensive Midfield,right,DE ROON M.
Merih,Demiral ,ATALANTA,Centre-Back,right,DEMIRAL M.
Berat,Djimsiti ,ATALANTA,Centre-Back,right,DJIMSITI B.
Remo,Freuler ,ATALANTA,Central Midfield,right,FREULER R.
Robin,Gosens ,ATALANTA,Left Midfield,left,GOSENS R.
Hans,Hateboer ,ATALANTA,Right-Back,right,HATEBOER H.
Josip,Ilicic  ,ATALANTA,Second Striker,left,ILICIC J.
Teun,Koopmeiners ,ATALANTA,Defensive Midfield,left,KOOPMEINERS T.
Sam,Lammers ,ATALANTA,Centre-Forward,both,LAMMERS S.
Matteo,Lovato  ,ATALANTA,Centre-Back,right,LOVATO M.
Joakim,Maehle ,ATALANTA,Left-Back,right,MAEHLE J.
Ruslan,Malinovskyi ,ATALANTA,Attacking Midfield,left,MALINOVSKYI R.
Valentin,Mihaila ,ATALANTA,Left Winger,right,MIHAILA V.
Aleksey,Miranchuk ,ATALANTA,Attacking Midfield,left,MIRANCHUK AL.
Luis,Muriel ,ATALANTA,Centre-Forward,right,MURIEL L.
Juan,Musso ,ATALANTA,Goalkeeper,right,MUSSO J.
JosE',Luis Palomino,ATALANTA,Centre-Back,left,PALOMINO J. L.
Mario,Pasalic ,ATALANTA,Attacking Midfield,right,PASALIC M.
Matteo,Pessina ,ATALANTA,Attacking Midfield,left,PESSINA M.
Giuseppe,Pezzella  ,ATALANTA,Left-Back,left,PEZZELLA G.
Roberto,Piccoli  ,ATALANTA,Centre-Forward,right,PICCOLI R.
Francesco,Rossi ,ATALANTA,Goalkeeper,right,ROSSI F.
Giorgio,Scalvini ,ATALANTA,Centre-Back,right,SCALVINI G.
Alassane,Sidibe ,ATALANTA,Central Midfield,right,SIDIBE A.
Marco,Sportiello ,ATALANTA,Goalkeeper,right,SPORTIELLO M.
Bosko,Sutalo  ,ATALANTA,Centre-Back,right,SUTALO B.
Rafael,TolOi ,ATALANTA,Centre-Back,right,TOLOI R.
DuvAn,Zapata ,ATALANTA,Centre-Forward,right,ZAPATA D.
Davide,Zappacosta  ,ATALANTA,Right-Back,right,ZAPPACOSTA D.
Michel,Aebischer ,BOLOGNA,Central Midfield,right,AEBISCHER M.
Wisdom,Amey ,BOLOGNA,Centre-Back,right,AMEY W.
Ebenezer,Annan ,BOLOGNA,Left-Back,left,ANNAN E.
Marko,Arnautovic ,BOLOGNA,Centre-Forward,both,ARNAUTOVIC M.
Nicola,Bagnolini ,BOLOGNA,Goalkeeper,right,BAGNOLINI N.
Francesco,Bardi ,BOLOGNA,Goalkeeper,right,BARDI F.
Musa,Barrow ,BOLOGNA,Left Winger,right,BARROW M.
Luis,Binks ,BOLOGNA,Centre-Back,left,BINKS L.
Kevin,Bonifazi  ,BOLOGNA,Centre-Back,right,BONIFAZI K.
Lorenzo,De Silvestri,BOLOGNA,Right-Back,right,DE SILVESTRI L.
Mitchell,Dijks  ,BOLOGNA,Left-Back,left,DIJKS M.
NicolAs,DomInguez ,BOLOGNA,Central Midfield,right,DOMINGUEZ N.
Diego,Falcinelli ,BOLOGNA,Centre-Forward,left,FALCINELLI D.
Aaron,Hickey  ,BOLOGNA,Left-Back,both,HICKEY A.
Denso,Kasius  ,BOLOGNA,Right-Back,right,KASIUS D.
Ibrahima,Mbaye ,BOLOGNA,Right-Back,right,MBAYE I.
Gary,Medel ,BOLOGNA,Defensive Midfield,right,MEDEL G.
Kingsley,Michael ,BOLOGNA,Central Midfield,right,MICHAEL K.
Riccardo,Orsolini ,BOLOGNA,Right Winger,left,ORSOLINI R.
Niklas,PyyhtiA ,BOLOGNA,Central Midfield,left,PYYHTIA N.
Antonio,Raimondo ,BOLOGNA,Centre-Forward,left,RAIMONDO A.
Nicola,Sansone ,BOLOGNA,Left Winger,right,SANSONE N.
Federico,Santander ,BOLOGNA,Centre-Forward,right,SANTANDER F.
Jerdy,Schouten ,BOLOGNA,Defensive Midfield,right,SCHOUTEN J.
Lukasz,Skorupski ,BOLOGNA,Goalkeeper,right,SKORUPSKI L.
Andreas,Skov Olsen,BOLOGNA,Right Midfield,left,SKOV OLSEN A.
Roberto,Soriano ,BOLOGNA,Attacking Midfield,right,SORIANO R.
Adama,Soumaoro ,BOLOGNA,Centre-Back,right,SOUMAORO A.
Riccardo,Stivanello ,BOLOGNA,Centre-Back,right,STIVANELLO R.
Mattias,Svanberg ,BOLOGNA,Central Midfield,right,SVANBERG M.
Arthur,Theate ,BOLOGNA,Centre-Back,left,THEATE A.
Takehiro,Tomiyasu ,BOLOGNA,Right-Back,right,TOMIYASU T.
Kacper,Urbanski ,BOLOGNA,Defensive Midfield,right,URBANSKI K.
Sydney,van Hooijdonk,BOLOGNA,Centre-Forward,right,VAN HOOIJDONK S.
Emanuel,Vignato ,BOLOGNA,Right Winger,right,VIGNATO E.
Nicolas,Viola ,BOLOGNA,Central Midfield,left,VIOLA N.
Giorgio,Altare ,CAGLIARI,Centre-Back,right,ALTARE G.
Daniele,Baselli ,CAGLIARI,Central Midfield,right,BASELLI D.
Raoul,Bellanova ,CAGLIARI,Right-Back,right,BELLANOVA R.
MartIn,CAceres ,CAGLIARI,Centre-Back,right,CACERES M.
Andrea,Carboni ,CAGLIARI,Centre-Back,left,CARBONI A.
Luca,Ceppitelli ,CAGLIARI,Centre-Back,both,CEPPITELLI L.
Damir,Ceter ,CAGLIARI,Centre-Forward,right,CETER D.
Alessio,Cragno ,CAGLIARI,Goalkeeper,right,CRAGNO A.
Dalbert ,Dalbert ,CAGLIARI,Left-Back,left,DALBERT H.
Alessandro,Deiola ,CAGLIARI,Central Midfield,right,DEIOLA A.
Paolo,FaragO' ,CAGLIARI,Central Midfield,right,FARAGO' P.
Diego,Farias ,CAGLIARI,Left Winger,right,FARIAS D.
Luca,Gagliano ,CAGLIARI,Centre-Forward,left,GAGLIANO L.
Diego,GodIn ,CAGLIARI,Centre-Back,right,GODIN D.
Edoardo,Goldaniga  ,CAGLIARI,Centre-Back,right,GOLDANIGA E.
Alberto,Grassi ,CAGLIARI,Central Midfield,right,GRASSI A.
JoAo,Pedro  ,CAGLIARI,Centre-Forward,right,JOAO PEDRO
Keita,BaldE'  ,CAGLIARI,Centre-Forward,both,KEITA B.
Christos,Kourfalidis ,CAGLIARI,Central Midfield,right,KOURFALIDIS C.
Charalampos,Lykogiannis ,CAGLIARI,Left-Back,left,LYKOGIANNIS C.
Razvan,Marin ,CAGLIARI,Central Midfield,right,MARIN R.
Nahitan,NAndez ,CAGLIARI,Right Midfield,right,NANDEZ N.
Adam,Obert ,CAGLIARI,Centre-Back,left,OBERT A.
Christian,Oliva ,CAGLIARI,Defensive Midfield,right,OLIVA C.
Leonardo,Pavoletti  ,CAGLIARI,Centre-Forward,right,PAVOLETTI L.
GastOn,Pereiro ,CAGLIARI,Attacking Midfield,left,PEREIRO G.
Boris,RadunoviC ,CAGLIARI,Goalkeeper,right,RADUNOVIC B.
Marko,Rog ,CAGLIARI,Central Midfield,right,ROG M.
Giovanni,Simeone ,CAGLIARI,Centre-Forward,right,SIMEONE G.
Kevin,Strootman ,CAGLIARI,Central Midfield,left,STROOTMAN K.
Sebastian,Walukiewicz ,CAGLIARI,Centre-Back,right,WALUKIEWICZ S.
Gabriele,Zappa ,CAGLIARI,Right-Back,right,ZAPPA G.
Kristjan,Asllani ,EMPOLI,Defensive Midfield,right,ASLLANI K.
Nedim,Bajrami ,EMPOLI,Attacking Midfield,right,BAJRAMI N.
Tommaso,Baldanzi ,EMPOLI,Attacking Midfield,left,BALDANZI T.
Filippo,Bandinelli ,EMPOLI,Central Midfield,left,BANDINELLI F.
Marco,Benassi ,EMPOLI,Central Midfield,right,BENASSI M.
Liberato,Cacace ,EMPOLI,Left-Back,left,CACACE L.
Giovanni,Crociata ,EMPOLI,Central Midfield,right,CROCIATA G.
Patrick,Cutrone ,EMPOLI,Centre-Forward,right,CUTRONE P.
Federico,Di Francesco,EMPOLI,Left Winger,right,DI FRANCESCO F.
Riccardo,Fiamozzi ,EMPOLI,Right-Back,right,FIAMOZZI R.
Nicolas,Haas ,EMPOLI,Central Midfield,right,HAAS N.
Liam,Henderson ,EMPOLI,Central Midfield,right,HENDERSON L.
Ardian,Ismajli ,EMPOLI,Centre-Back,right,ISMAJLI A.
Andrea,La Mantia ,EMPOLI,Centre-Forward,right,LA MANTIA A.
Sebastiano,Luperto ,EMPOLI,Centre-Back,left,LUPERTO S.
Leonardo,Mancuso ,EMPOLI,Centre-Forward,right,MANCUSO L.
Riccardo,Marchizza ,EMPOLI,Left-Back,left,MARCHIZZA R.
Fabiano,Parisi ,EMPOLI,Left-Back,left,PARISI F.
Andrea,Pinamonti ,EMPOLI,Centre-Forward,right,PINAMONTI A.
Samuele,Ricci ,EMPOLI,Defensive Midfield,right,RICCI S.
Simone,Romagnoli  ,EMPOLI,Centre-Back,right,ROMAGNOLI S.
Petar,Stojanovic ,EMPOLI,Right-Back,right,STOJANOVIC P.
Leo,Stulac ,EMPOLI,Defensive Midfield,right,STULAC L.
Lorenzo,Tonelli  ,EMPOLI,Centre-Back,right,TONELLI L.
Valerio,Verre ,EMPOLI,Attacking Midfield,both,VERRE V.
Guglielmo,Vicario ,EMPOLI,Goalkeeper,right,VICARIO G.
Mattia,Viti ,EMPOLI,Centre-Back,left,VITI M.
Szymon,Zurkowski ,EMPOLI,Central Midfield,right,ZURKOWSKI S.
Sofyan,Amrabat ,FIORENTINA,Defensive Midfield,right,AMRABAT S.
Cristiano,Biraghi ,FIORENTINA,Left-Back,left,BIRAGHI C.
Giacomo,Bonaventura ,FIORENTINA,Central Midfield,right,BONAVENTURA G.
Arthur,Cabral ,FIORENTINA,Centre-Forward,right,CABRAL A.
JosE',CallejOn ,FIORENTINA,Right Winger,right,CALLEJON J. M.
Gaetano,Castrovilli  ,FIORENTINA,Central Midfield,right,CASTROVILLI G.
Filippo,Distefano ,FIORENTINA,Second Striker,right,DISTEFANO F.
Bartlomiej,Dragowski  ,FIORENTINA,Goalkeeper,right,DRAGOWSKI B.
Alfred,Duncan ,FIORENTINA,Central Midfield,left,DUNCAN A.
NicolAs,GonzAlez  ,FIORENTINA,Left Winger,left,GONZALEZ N.
Igor,Igor,FIORENTINA,Centre-Back,left,IGOR
Jonathan,IkonE' ,FIORENTINA,Right Winger,left,IKONE' J.
Aleksandr,Kokorin ,FIORENTINA,Centre-Forward,right,KOKORIN A.
Youssef,Maleh ,FIORENTINA,Central Midfield,left,MALEH Y.
Nikola,MilenkoviC ,FIORENTINA,Centre-Back,right,MILENKOVIC N.
Matija,NastasiC ,FIORENTINA,Centre-Back,left,NASTASIC M.
Alvaro,Odriozola ,FIORENTINA,Right-Back,right,ODRIOZOLA A.
Krzysztof,Piatek ,FIORENTINA,Centre-Forward,right,PIATEK K.
Erick,Pulgar ,FIORENTINA,Defensive Midfield,right,PULGAR E.
Lucas,MartInez Quarta,FIORENTINA,Centre-Back,right,QUARTA L. M.
Luca,Ranieri ,FIORENTINA,Left-Back,left,RANIERI L.
Riccardo,Saponara ,FIORENTINA,Attacking Midfield,right,SAPONARA R.
Riccardo,Sottil  ,FIORENTINA,Left Winger,right,SOTTIL R.
Pietro,Terracciano ,FIORENTINA,Goalkeeper,right,TERRACCIANO P.
Aleksa,TerziC ,FIORENTINA,Left-Back,left,TERZIC A.
Lucas,Torreira ,FIORENTINA,Defensive Midfield,right,TORREIRA L.
Lorenzo,Venuti ,FIORENTINA,Right-Back,right,VENUTI L.
Dušan,VlahoviC ,FIORENTINA,Centre-Forward,left,VLAHOVIC D.
Kevin,Agudelo ,GENOA,Attacking Midfield,left,AGUDELO K.
Nadiem,Amiri ,GENOA,Central Midfield,right,AMIRI N.
Milan,Badelj ,GENOA,Defensive Midfield,right,BADELJ M.
Mattia,Bani ,GENOA,Centre-Back,right,BANI M.
Valon,Behrami ,GENOA,Defensive Midfield,right,BEHRAMI V.
Flavio,Bianchi ,GENOA,Centre-Forward,right,BIANCHI F.
Davide,Biraschi ,GENOA,Centre-Back,right,BIRASCHI D.
Aleksander,Buksa ,GENOA,Centre-Forward,left,BUKSA A.
Felipe,Caicedo ,GENOA,Centre-Forward,left,CAICEDO F.
Riccardo,Calafiori ,GENOA,Left-Back,left,CALAFIORI R.
Andrea,Cambiaso ,GENOA,Left-Back,both,CAMBIASO A.
Francesco,Cassata ,GENOA,Central Midfield,right,CASSATA F.
Domenico,Criscito ,GENOA,Left-Back,left,CRISCITO D.
Mattia,Destro  ,GENOA,Centre-Forward,right,DESTRO M.
Caleb,Ekuban ,GENOA,Centre-Forward,right,EKUBAN C.
Mohamed,Fares ,GENOA,Left Midfield,left,FARES M. S.
Andrea,Favilli ,GENOA,Centre-Forward,right,FAVILLI A.
Morten,Frendrup ,GENOA,Central Midfield,right,FRENDRUP M.
Pablo,Galdames ,GENOA,Defensive Midfield,right,GALDAMES P.
Paolo,Ghiglione ,GENOA,Right-Back,right,GHIGLIONE P.
Albert,Gudmundsson ,GENOA,Right Winger,right,GUDMUNDSSON A.
Silvan,Hefti ,GENOA,Right-Back,right,HEFTI S.
Hernani,Hernani,GENOA,Central Midfield,both,HERNANI A. J.
Yayah,Kallon ,GENOA,Right Winger,left,KALLON Y.
Nikola,Maksimovic ,GENOA,Centre-Back,right,MAKSIMOVIC N.
Andrea,Masiello ,GENOA,Centre-Back,right,MASIELLO A.
Filippo,Melegoni ,GENOA,Central Midfield,right,MELEGONI F.
Leo,Ostigard ,GENOA,Centre-Back,right,OSTIGARD L. S.
Goran,Pandev ,GENOA,Second Striker,left,PANDEV G.
Manolo,Portanova ,GENOA,Central Midfield,right,PORTANOVA M.
NicolO',Rovella ,GENOA,Defensive Midfield,right,ROVELLA N.
Stefano,Sabelli ,GENOA,Right-Back,right,SABELLI S.
Eddie,Salcedo ,GENOA,Centre-Forward,right,SALCEDO MORA E. A.
Adrian,Semper ,GENOA,Goalkeeper,right,SEMPER A.
Laurens,Serpe ,GENOA,Centre-Back,both,SERPE L.
Salvatore,Sirigu ,GENOA,Goalkeeper,right,SIRIGU S.
Stefano,Sturaro  ,GENOA,Central Midfield,right,STURARO S.
Abdoulaye,TourE' ,GENOA,Defensive Midfield,right,TOURE' A.
Zinho,Vanheusden  ,GENOA,Centre-Back,right,VANHEUSDEN Z.
Johan,VAsquez ,GENOA,Centre-Back,left,VASQUEZ J.
Kelvin,Yeboah ,GENOA,Centre-Forward,right,YEBOAH K.
Antonin,Barak ,HELLAS VERONA,Attacking Midfield,left,BARAK A.
Alessandro,Berardi ,HELLAS VERONA,Goalkeeper,right,BERARDI A.
Daniel,Bessa ,HELLAS VERONA,Central Midfield,right,BESSA D.
Matteo,Cancellieri ,HELLAS VERONA,Right Winger,left,CANCELLIERI M.
NicolO',Casale ,HELLAS VERONA,Centre-Back,right,CASALE N.
Federico,Ceccherini ,HELLAS VERONA,Centre-Back,right,CECCHERINI F.
Mert,Cetin ,HELLAS VERONA,Centre-Back,right,CETIN M.
Diego,Coppola  ,HELLAS VERONA,Centre-Back,right,COPPOLA D.
Pawel,Dawidowicz ,HELLAS VERONA,Centre-Back,both,DAWIDOWICZ P.
Samuel,Di Carmine,HELLAS VERONA,Centre-Forward,right,DI CARMINE S.
Davide,Faraoni  ,HELLAS VERONA,Right-Back,right,FARAONI D.
Gianluca,Frabotta ,HELLAS VERONA,Left-Back,left,FRABOTTA G.
Koray,GUnter ,HELLAS VERONA,Centre-Back,right,GUNTER K.
Martin,Hongla ,HELLAS VERONA,Defensive Midfield,right,HONGLA M.
Ivan,IliC ,HELLAS VERONA,Central Midfield,left,ILIC I.
Nikola,Kalinic ,HELLAS VERONA,Centre-Forward,both,KALINIC N.
Kevin,Lasagna ,HELLAS VERONA,Centre-Forward,left,LASAGNA K.
Darko,LazoviC ,HELLAS VERONA,Left Midfield,right,LAZOVIC D.
Lorenzo,MontipO' ,HELLAS VERONA,Goalkeeper,right,MONTIPO' L.
Ivor,Pandur ,HELLAS VERONA,Goalkeeper,right,PANDUR I.
Mateusz,Praszelik ,HELLAS VERONA,Attacking Midfield,right,PRASZELIK M.
Panagiotis,Retsos ,HELLAS VERONA,Centre-Back,right,RETSOS P.
Adrien,Tamèze ,HELLAS VERONA,Defensive Midfield,right,TAMEZE A.
Filippo,Terracciano ,HELLAS VERONA,Central Midfield,right,TERRACCIANO F.
Miguel,Veloso ,HELLAS VERONA,Defensive Midfield,left,VELOSO M.
NicolO',Barella ,INTER,Central Midfield,right,BARELLA N.
Alessandro,Bastoni ,INTER,Centre-Back,left,BASTONI A.
Marcelo,Brozovic ,INTER,Defensive Midfield,both,BROZOVIC M.
Hakan,Calhanoglu ,INTER,Central Midfield,right,CALHANOGLU H.
JoaquIn,Correa  ,INTER,Second Striker,right,CORREA J.
Danilo,D'Ambrosio ,INTER,Centre-Back,right,D'AMBROSIO D.
Matteo,Darmian  ,INTER,Right-Back,right,DARMIAN M.
Stefan,de Vrij,INTER,Centre-Back,right,DE VRIJ S.
Federico,Dimarco ,INTER,Left-Back,left,DIMARCO F.
Denzel,Dumfries ,INTER,Right Midfield,right,DUMFRIES D.
Edin,Dzeko ,INTER,Centre-Forward,right,DZEKO E.
Roberto,Gagliardini ,INTER,Central Midfield,right,GAGLIARDINI R.
Samir,Handanovic ,INTER,Goalkeeper,right,HANDANOVIC S.
Aleksandar,Kolarov ,INTER,Left-Back,left,KOLAROV A.
Lautaro,MartInez ,INTER,Centre-Forward,right,LAUTARO MARTINEZ
Ivan,Perisic ,INTER,Left Midfield,both,PERISIC I.
Ionut,Radu  ,INTER,Goalkeeper,right,RADU I.
Andrea,Ranocchia ,INTER,Centre-Back,right,RANOCCHIA A.
Alexis,SAnchez ,INTER,Centre-Forward,right,SANCHEZ A.
MartIn,Satriano ,INTER,Centre-Forward,right,SATRIANO M.
Stefano,Sensi  ,INTER,Central Midfield,right,SENSI S.
Milan,Skriniar ,INTER,Centre-Back,right,SKRINIAR M.
MatIas,Vecino ,INTER,Central Midfield,right,VECINO M.
Arturo,Vidal ,INTER,Central Midfield,right,VIDAL A.
Mattia,Zanotti ,INTER,Right-Back,right,ZANOTTI M.
Marley,AkE'  ,JUVENTUS,Left Winger,right,AKE' M.
Alex,Sandro ,JUVENTUS,Left-Back,left,ALEX SANDRO
Arthur,Melo  ,JUVENTUS,Central Midfield,right,ARTHUR
Rodrigo,Bentancur ,JUVENTUS,Central Midfield,right,BENTANCUR R.
Federico,Bernardeschi ,JUVENTUS,Right Winger,left,BERNARDESCHI F.
Leonardo,Bonucci ,JUVENTUS,Centre-Back,right,BONUCCI L.
Giorgio,Chiellini ,JUVENTUS,Centre-Back,left,CHIELLINI G.
Federico,Chiesa ,JUVENTUS,Right Winger,right,CHIESA F.
Cristiano,Ronaldo ,JUVENTUS,Centre-Forward,right,CRISTIANO RONALDO
Juan,Cuadrado ,JUVENTUS,Right Midfield,right,CUADRADO JU.
Danilo,Danilo,JUVENTUS,Right-Back,right,DANILO
Matthijs,de Ligt,JUVENTUS,Centre-Back,right,DE LIGT M.
Mattia,De Sciglio ,JUVENTUS,Left-Back,right,DE SCIGLIO M.
Paulo,Dybala ,JUVENTUS,Second Striker,left,DYBALA P.
Kaio,Jorge ,JUVENTUS,Centre-Forward,right,KAIO JORGE
Moise,Kean ,JUVENTUS,Centre-Forward,right,KEAN M.
Dejan,Kulusevski ,JUVENTUS,Right Winger,left,KULUSEVSKI D.
Manuel,Locatelli ,JUVENTUS,Defensive Midfield,right,LOCATELLI M.
Weston,McKennie ,JUVENTUS,Central Midfield,right,MCKENNIE W.
Fabio,Miretti ,JUVENTUS,Central Midfield,right,MIRETTI F.
Alvaro,Morata ,JUVENTUS,Centre-Forward,right,MORATA A.
Martin,Palumbo ,JUVENTUS,Central Midfield,left,PALUMBO M.
Luca,Pellegrini ,JUVENTUS,Left-Back,left,PELLEGRINI LU.
Mattia,Perin ,JUVENTUS,Goalkeeper,right,PERIN M.
Carlo,Pinsoglio ,JUVENTUS,Goalkeeper,left,PINSOGLIO C.
Adrien,Rabiot ,JUVENTUS,Central Midfield,left,RABIOT A.
Aaron,Ramsey ,JUVENTUS,Central Midfield,right,RAMSEY A.
Daniele,Rugani ,JUVENTUS,Centre-Back,right,RUGANI D.
MatIas,SoulE' ,JUVENTUS,Right Winger,left,SOULE' M.
Wojciech,Szczesny ,JUVENTUS,Goalkeeper,right,SZCZESNY W.
Denis,Zakaria ,JUVENTUS,Defensive Midfield,right,ZAKARIA D.
Francesco,Acerbi ,LAZIO,Centre-Back,left,ACERBI F.
Jean-Daniel,Akpa Akpro,LAZIO,Central Midfield,right,AKPA AKPRO J. D.
AndrE',Anderson ,LAZIO,Attacking Midfield,right,ANDERSON A.
Toma,Basic ,LAZIO,Central Midfield,left,BASIC T.
Danilo,Cataldi ,LAZIO,Defensive Midfield,right,CATALDI D.
Gonzalo,Escalante ,LAZIO,Central Midfield,right,ESCALANTE G.
Felipe,Anderson ,LAZIO,Right Winger,right,FELIPE ANDERSON
Elseid,Hysaj ,LAZIO,Right-Back,right,HYSAJ E.
Ciro,Immobile ,LAZIO,Centre-Forward,right,IMMOBILE C.
Jovane,Cabral ,LAZIO,Left Winger,right,JOVANE CABRAL
Dimitrije,Kamenovic ,LAZIO,Left-Back,left,KAMENOVIC D.
Manuel,Lazzari  ,LAZIO,Right-Back,right,LAZZARI M.
Lucas,Leiva ,LAZIO,Defensive Midfield,right,LUCAS LEIVA
Luis,Alberto ,LAZIO,Central Midfield,right,LUIS ALBERTO
Luiz,Felipe ,LAZIO,Centre-Back,right,LUIZ FELIPE
Adam,Marusic ,LAZIO,Right-Back,right,MARUSIC A.
Sergej,MilinkoviC-SaviC ,LAZIO,Central Midfield,right,MILINKOVIC-SAVIC S.
Raúl,Moro ,LAZIO,Left Winger,right,MORO R.
Vedat,Muriqi ,LAZIO,Centre-Forward,left,MURIQI V.
Patric ,Patric ,LAZIO,Centre-Back,right,PATRIC
Pedro,Pedro,LAZIO,Right Winger,both,PEDRO
